EX_glc__D_e,EX_fru_e,EX_lac__D_e,EX_pyr_e,EX_ac_e,EX_akg_e,EX_succ_e,EX_fum_e,EX_mal__L_e,EX_etoh_e,EX_acald_e,EX_for_e,EX_gln__L_e,EX_glu__L_e,EX_co2_e,EX_h_e,EX_h2o_e,EX_nh4_e,EX_o2_e,EX_pi_e,EX_co2_e_flux,EX_h_e_flux,EX_h2o_e_flux,EX_nh4_e_flux,EX_o2_e_flux,EX_pi_e_flux,Biomass_Ecoli_core_flux
,1.2503,,1.5594,0.7742,0.2172,,,0.5766,1.2342,,0.107,1.3393,1.4932,100,100,100,100,100,100,16.29324592662412,-1.3565566234230635,10.94118133102773,1.9347810865504074,-14.063404266222292,-1.509191878834163,0.4102514145850924
0.3106,,,0.8982,,0.6148,0.1986,,,,1.1304,0.1651,3.1171,1.2555,100,100,100,100,100,100,16.794446440667713,-3.8430888533748537,5.302757828328553,5.470829029894442,-13.582106400956194,-1.3620196298648968,0.3702448228626683
1.1122,0.2479,0.2151,7.2312,,0.9086,,1.7167,0.245,2.1887,,,,,100,100,100,100,100,100,23.365138017791146,-1.9200758911748406,16.918366708634952,-3.062599127647194,-18.418607242506354,-2.0661647980625726,0.5616562367310659
,,1.1229,,,2.6187,2.3027,,0.1636,,,0.3259,1.3634,0.2306,100,100,100,100,100,100,19.018951360761193,-7.278877236711321,9.379126266887814,0.9997135730976887,-13.873233638097284,-1.3207418314710861,0.35902406596653336
0.3246,6.4831,0.5267,,3.4665,,,1.298,0.2236,1.0724,1.9643,3.868,,1.5384,100,100,100,100,100,100,28.08402561491939,9.27346240943515,30.299916126150187,-3.731370328323428,-26.730481476756484,-3.555220090009408,0.9664338190147131
0.8826,,,,0.2954,0.2023,,,,,5.4767,0.2275,,1.1768,100,100,100,100,100,100,10.020071686813033,3.4115450450007647,9.609563738946804,-0.5805849900987157,-11.595121777215555,-1.1856096249772787,0.32229038110671904
0.7791,0.7681,,1.5635,,,,2.2474,,,,,2.8121,0.3541,100,100,100,100,100,100,19.91338996373682,-3.4905330338631098,7.942513007013393,3.5590163293643413,-14.788204618295605,-1.6321557436853453,0.443677316357772
0.5419,,,,,,,,,,,,0.6344,1.5542,100,100,100,100,100,100,8.01640449515906,-1.4649891265028279,4.062317400787308,2.0313896584743047,-6.75426765613363,-0.5340553409937223,0.14517501861900212
,,1.3049,,,,,,0.4635,,2.8927,9.7337,2.1826,2.1071,100,100,100,100,100,100,16.09582140662351,-2.8417078536703557,7.764324249630689,4.305969389057505,-14.47451704568773,-1.4615024241626557,0.39728774408423084
0.5822,0.8908,4.4016,,,,9.1722,,,,0.3997,,0.1006,0.1736,100,100,100,100,100,100,30.373471781471327,-8.90372720650241,25.777965545028348,-3.5369378169682726,-25.020757034882962,-2.6390313063529147,0.7173814951893104
0.4823,1.032,5.3626,,,,1.6481,0.4928,0.2849,3.7653,0.5779,0.2083,0.1337,0.1719,100,100,100,100,100,100,19.183037461177186,1.3873043632147481,23.719644224058626,-2.8804125798473286,-20.778893616994107,-2.239624902340898,0.6088087917853818
,,,,0.2612,4.3142,,7.2642,9.6453,,,0.1709,,5.0449,100,100,100,100,100,100,62.29302729627377,-27.973941905587996,28.415647861724057,-1.7029965651649803,-37.11619155335504,-4.55242941136156,1.2375103735997997
,7.336,,,0.9093,,,,8.2157,,1.4136,,0.28,1.3999,100,100,100,100,100,100,40.28224125658954,2.699899158576756,36.92414243459237,-4.400902419336363,-30.584777025920022,-4.291278583482377,1.1665203967386228
,0.2918,,,3.5764,,0.1445,0.1754,1.0285,,0.9046,,,,100,100,100,100,100,100,9.606929625409895,-3.209450879104293,9.195670706977822,-0.8328021538594299,-8.606509318397553,-0.5618451590747285,0.15272926824006575
0.2652,,,,0.3933,,,0.7256,0.2194,3.2248,1.7338,,0.9315,,100,100,100,100,100,100,9.080735820460802,1.3461601859114922,9.834916228150405,0.37001461107984995,-11.445143785519008,-1.0072339624084024,0.27380160448212837
,4.9663,,,,3.8387,,2.8095,,,,,2.0486,,100,100,100,100,100,100,32.746348254988014,0.38982616124689273,19.76185461236524,-0.7367713944190862,-24.048951994518546,-3.2612108583937798,0.8865117727441105
0.1852,1.4598,,0.6873,,,,1.7294,2.3012,0.2395,,,,3.8078,100,100,100,100,100,100,23.796535080980078,-5.156574667774061,14.042930571013281,0.7613197342192669,-17.111971818936883,-2.055290301079748,0.5587001661129573
0.3069,,5.3619,,,0.1796,0.3404,0.1988,,,,,,0.9969,100,100,100,100,100,100,13.116690688915005,-2.736147134204378,12.225228292883166,-0.6495827092029074,-11.72055422689375,-1.1107900422433805,0.3019517879260027
0.1194,0.8374,,,,,0.7503,2.3783,,,4.8056,0.3231,6.361,0.4274,100,100,100,100,100,100,29.424753506259155,-4.568853340592089,9.523295496577802,8.99995873856329,-24.80014099115737,-2.7993965611148646,0.7609744097411814
,,0.1191,2.08,3.1075,,0.1625,,4.0203,0.1246,,9.4744,,0.7701,100,100,100,100,100,100,19.50445588807403,-8.547616202717975,14.246242881739109,-1.0415516993927916,-13.718350377204747,-1.2222203467129509,0.33224246247667094
0.1573,2.0922,,,,0.3389,,,,,,,3.3787,,100,100,100,100,100,100,15.392450604152183,0.43340783872137223,7.435882954121375,4.618519400649058,-12.910716181303442,-1.442983432517652,0.3922536310429397
,,,3.5422,1.94,1.1498,,,,,,,,,100,100,100,100,100,100,12.271203842259109,-4.018079989089961,7.796125778823074,-1.023071409545877,-9.133392740334227,-0.6902092125690515,0.18762313115204632
0.4748,,0.2813,,,,,,0.5551,,,,7.1807,,100,100,100,100,100,100,21.779056055037174,-6.307513821105289,3.111764882631471,11.793912375060948,-17.0892485793931,-1.7321406847607357,0.47085673872855005
